id,name,parent_id
315,Ice Hockey,17
316,Nordic Combined,17
317,Skeleton,17
318,Ski Jumping,17
319,Speed Skating,17
320,Basketball,18
321,Boxing,18
322,Canoeing,18
323,Cycling,18
324,Diving,18
325,Equestrianism,18
326,Fencing,18
327,Football,18
328,Gymnastics,18
329,Hockey,18
330,Modern Pentathlon,18
331,Rowing,18
332,Sailing,18
333,Shooting,18
334,Swimming,18
335,Track and Field,18
336,Water Polo,18
337,Weightlifting,18
338,Wrestling,18
339,Alpine Skiing,19
340,Bobsleigh,19
341,Cross Country Skiing,19
342,Figure Skating,19
343,Ice Hockey,19
344,Nordic Combined,19
345,Ski Jumping,19
346,Speed Skating,19
347,Basketball,20
348,Boxing,20
349,Canoeing,20
350,Cycling,20
351,Diving,20
352,Equestrianism,20
353,Fencing,20
354,Football,20
355,Gymnastics,20
356,Hockey,20
357,Modern Pentathlon,20
358,Rowing,20
359,Sailing,20
360,Shooting,20
361,Swimming,20
362,Track and Field,20
363,Water Polo,20
364,Weightlifting,20
365,Wrestling,20
366,Alpine Skiing,21
367,Bobsleigh,21
368,Cross Country Skiing,21
369,Figure Skating,21
370,Ice Hockey,21
371,Nordic Combined,21
372,Ski Jumping,21
373,Speed Skating,21
374,Basketball,22
375,Boxing,22
376,Canoeing,22
377,Cycling,22
378,Diving,22
379,Equestrianism,22
380,Fencing,22
381,Football,22
382,Gymnastics,22
383,Hockey,22
384,Modern Pentathlon,22
385,Rowing,22
386,Sailing,22
387,Shooting,22
388,Swimming,22
389,Track and Field,22
390,Water Polo,22
391,Weightlifting,22
392,Wrestling,22
393,Alpine Skiing,23
394,Biathlon,23
395,Cross Country Skiing,23
396,Figure Skating,23
397,Ice Hockey,23
398,Nordic Combined,23
399,Ski Jumping,23
400,Speed Skating,23
401,Basketball,24
402,Boxing,24
403,Canoeing,24
404,Cycling,24
405,Diving,24
406,Equestrianism,24
407,Fencing,24
408,Football,24
409,Gymnastics,24
410,Hockey,24
411,Judo,24
412,Modern Pentathlon,24
413,Rowing,24
414,Sailing,24
415,Shooting,24
416,Swimming,24
417,Track and Field,24
418,Volleyball,24
419,Water Polo,24
420,Weightlifting,24
421,Wrestling,24
422,Alpine Skiing,25
423,Biathlon,25
424,Bobsleigh,25
425,Cross Country Skiing,25
426,Figure Skating,25
427,Ice Hockey,25
428,Luge,25
429,Nordic Combined,25
430,Ski Jumping,25
431,Speed Skating,25
432,Basketball,26
433,Boxing,26
434,Canoeing,26
435,Cycling,26
436,Diving,26
437,Equestrianism,26
438,Fencing,26
439,Football,26
440,Gymnastics,26
441,Hockey,26
442,Modern Pentathlon,26
443,Rowing,26
444,Sailing,26
445,Shooting,26
446,Swimming,26
447,Track and Field,26
448,Volleyball,26
449,Water Polo,26
450,Weightlifting,26
451,Wrestling,26
452,Alpine Skiing,27
453,Biathlon,27
454,Bobsleigh,27
455,Cross Country Skiing,27
456,Figure Skating,27
457,Ice Hockey,27
458,Luge,27
459,Nordic Combined,27
460,Ski Jumping,27
461,Speed Skating,27
462,Archery,28
463,Basketball,28
464,Boxing,28
465,Canoeing,28
466,Cycling,28
467,Diving,28
468,Equestrianism,28
469,Fencing,28
470,Football,28
471,Gymnastics,28
472,Handball,28
473,Hockey,28
474,Judo,28
475,Modern Pentathlon,28
476,Rowing,28
477,Sailing,28
478,Shooting,28
479,Swimming,28
480,Track and Field,28
481,Volleyball,28
482,Water Polo,28
483,Weightlifting,28
484,Wrestling,28
485,Alpine Skiing,29
486,Biathlon,29
487,Bobsleigh,29
488,Cross Country Skiing,29
489,Figure Skating,29
490,Ice Hockey,29
491,Luge,29
492,Nordic Combined,29
493,Ski Jumping,29
494,Speed Skating,29
495,Archery,30
496,Basketball,30
497,Boxing,30
498,Canoeing,30
499,Cycling,30
500,Diving,30
501,Equestrianism,30
502,Fencing,30
503,Football,30
504,Gymnastics,30
505,Handball,30
506,Hockey,30
507,Judo,30
508,Modern Pentathlon,30
509,Rowing,30
510,Sailing,30
511,Shooting,30
512,Swimming,30
513,Track and Field,30
514,Volleyball,30
515,Water Polo,30
516,Weightlifting,30
517,Wrestling,30
518,Alpine Skiing,31
519,Biathlon,31
520,Bobsleigh,31
521,Cross Country Skiing,31
522,Figure Skating,31
523,Ice Hockey,31
524,Luge,31
525,Nordic Combined,31
526,Ski Jumping,31
527,Speed Skating,31
528,Archery,32
529,Basketball,32
530,Boxing,32
531,Canoeing,32
532,Cycling,32
533,Diving,32
534,Equestrianism,32
535,Fencing,32
536,Football,32
537,Gymnastics,32
538,Handball,32
539,Hockey,32
540,Judo,32
541,Modern Pentathlon,32
542,Rowing,32
543,Sailing,32
544,Shooting,32
545,Swimming,32
546,Track and Field,32
547,Volleyball,32
548,Water Polo,32
549,Weightlifting,32
550,Wrestling,32
551,Alpine Skiing,33
552,Biathlon,33
553,Bobsleigh,33
554,Cross Country Skiing,33
555,Figure Skating,33
556,Ice Hockey,33
557,Luge,33
558,Nordic Combined,33
559,Ski Jumping,33
560,Speed Skating,33
561,Archery,34
562,Basketball,34
563,Boxing,34
564,Canoeing,34
565,Cycling,34
566,Diving,34
567,Equestrianism,34
568,Fencing,34
569,Football,34
570,Gymnastics,34
571,Handball,34
572,Hockey,34
573,Judo,34
574,Modern Pentathlon,34
575,Rhythmic Gymnastics,34
576,Rowing,34
577,Sailing,34
578,Shooting,34
579,Swimming,34
580,Synchronized Swimming,34
581,Track and Field,34
582,Volleyball,34
583,Water Polo,34
584,Weightlifting,34
585,Wrestling,34
586,Alpine Skiing,35
587,Biathlon,35
588,Bobsleigh,35
589,Cross Country Skiing,35
590,Figure Skating,35
591,Ice Hockey,35
592,Luge,35
593,Nordic Combined,35
594,Ski Jumping,35
595,Speed Skating,35
596,Archery,36
597,Basketball,36
598,Boxing,36
599,Canoeing,36
600,Cycling,36
601,Diving,36
602,Equestrianism,36
603,Fencing,36
604,Football,36
605,Gymnastics,36
606,Handball,36
607,Hockey,36
608,Judo,36
609,Modern Pentathlon,36
610,Rhythmic Gymnastics,36
611,Rowing,36
612,Sailing,36
613,Shooting,36
614,Swimming,36
615,Synchronized Swimming,36
616,Table Tennis,36
617,Tennis,36
618,Track and Field,36
619,Volleyball,36
620,Water Polo,36
621,Weightlifting,36
622,Wrestling,36
623,Alpine Skiing,37
624,Biathlon,37
625,Bobsleigh,37
626,Cross Country Skiing,37
627,Figure Skating,37
628,Ice Hockey,37
629,Luge,37
630,Nordic Combined,37
631,Ski Jumping,37
632,Speed Skating,37
633,Archery,38
634,Badminton,38
635,Baseball,38
636,Basketball,38
637,Boxing,38
638,Canoeing,38
639,Cycling,38
640,Diving,38
641,Equestrianism,38
642,Fencing,38
643,Football,38
644,Gymnastics,38
645,Handball,38
646,Hockey,38
647,Judo,38
648,Modern Pentathlon,38
649,Rhythmic Gymnastics,38
650,Rowing,38
651,Sailing,38
652,Shooting,38
653,Swimming,38
654,Synchronized Swimming,38
655,Table Tennis,38
656,Tennis,38
657,Track and Field,38
658,Volleyball,38
659,Water Polo,38
660,Weightlifting,38
661,Wrestling,38
662,Alpine Skiing,39
663,Biathlon,39
664,Bobsleigh,39
665,Cross Country Skiing,39
666,Figure Skating,39
667,Freestyle Skiing,39
668,Ice Hockey,39
669,Luge,39
670,Nordic Combined,39
671,Short Track Speed Skating,39
672,Ski Jumping,39
673,Speed Skating,39
674,Alpine Skiing,40
675,Biathlon,40
676,Bobsleigh,40
677,Cross Country Skiing,40
678,Figure Skating,40
679,Freestyle Skiing,40
680,Ice Hockey,40
681,Luge,40
682,Nordic Combined,40
683,Short Track Speed Skating,40
684,Ski Jumping,40
685,Speed Skating,40
686,Archery,41
687,Badminton,41
688,Baseball,41
689,Basketball,41
690,Beach Volleyball,41
691,Boxing,41
692,Canoeing,41
693,Cycling,41
694,Diving,41
695,Equestrianism,41
696,Fencing,41
697,Football,41
698,Gymnastics,41
699,Handball,41
700,Hockey,41
701,Judo,41
702,Modern Pentathlon,41
703,Rhythmic Gymnastics,41
704,Rowing,41
705,Sailing,41
706,Shooting,41
707,Softball,41
708,Swimming,41
709,Synchronized Swimming,41
710,Table Tennis,41
711,Tennis,41
712,Track and Field,41
713,Volleyball,41
714,Water Polo,41
715,Weightlifting,41
716,Wrestling,41
717,Alpine Skiing,42
718,Biathlon,42
719,Bobsleigh,42
720,Cross Country Skiing,42
721,Curling,42
722,Figure Skating,42
723,Freestyle Skiing,42
724,Ice Hockey,42
725,Luge,42
726,Nordic Combined,42
727,Short Track Speed Skating,42
728,Ski Jumping,42
729,Snowboarding,42
730,Speed Skating,42
731,Archery,43
732,Badminton,43
733,Baseball,43
734,Basketball,43
735,Beach Volleyball,43
736,Boxing,43
737,Canoeing,43
738,Cycling,43
739,Diving,43
740,Equestrianism,43
741,Fencing,43
742,Football,43
743,Gymnastics,43
744,Handball,43
745,Hockey,43
746,Judo,43
747,Modern Pentathlon,43
748,Rhythmic Gymnastics,43
749,Rowing,43
750,Sailing,43
751,Shooting,43
752,Softball,43
753,Swimming,43
754,Synchronized Swimming,43
755,Table Tennis,43
756,Taekwondo,43
757,Tennis,43
758,Track and Field,43
759,Trampolining,43
760,Triathlon,43
761,Volleyball,43
762,Water Polo,43
763,Weightlifting,43
764,Wrestling,43
765,Alpine Skiing,44
766,Biathlon,44
767,Bobsleigh,44
768,Cross Country Skiing,44
769,Curling,44
770,Figure Skating,44
771,Freestyle Skiing,44
772,Ice Hockey,44
773,Luge,44
774,Nordic Combined,44
775,Short Track Speed Skating,44
776,Skeleton,44
777,Ski Jumping,44
778,Snowboarding,44
779,Speed Skating,44
780,Archery,45
781,Badminton,45
782,Baseball,45
783,Basketball,45
784,Beach Volleyball,45
785,Boxing,45
786,Canoeing,45
787,Cycling,45
788,Diving,45
789,Equestrianism,45
790,Fencing,45
791,Football,45
792,Gymnastics,45
793,Handball,45
794,Hockey,45
795,Judo,45
796,Modern Pentathlon,45
797,Rhythmic Gymnastics,45
798,Rowing,45
799,Sailing,45
800,Shooting,45
